vehicle_id,vehicle_name,vehicle_type,pod_name,pod_id,area_id,latitude,longitude
598,Ava the i30 Wagon,i30 Wagon,Chatswood - McIntosh Street ,424,424,-33.794322,151.182148
599,Rhett the i30 Wagon,i30 Wagon,Clovelly - Fern Street ,448,448,-33.911216,151.254229
600,Fabien the i30 Wagon,i30 Wagon,Newtown - Copeland Avenue ,449,449,-33.896591,151.185039
601,Spencer the i30 Wagon,i30 Wagon,Newtown - Camperdown Memorial Park ,4,4,-33.8939,151.1776
602,Holly the i30 Wagon,i30 Wagon,Milsons Point - Alfred Street ,337,337,-33.845968,151.211318
604,Donald the i30 Wagon,i30 Wagon,Chippendale - Rose Street ,299,299,-33.887901,151.19439
605,Giovanni the i30 Wagon,i30 Wagon,Enmore - Edgeware Road Car Park ,16,16,-33.899843,151.171339
606,Micaela the i30 Wagon,i30 Wagon,Surry Hills - Riley and Reservoir Streets ,106,106,-33.8816,151.2135
607,Jenny the i30 Wagon,i30 Wagon,Darlinghurst - Liverpool Street near Oxford Street ,416,416,-33.877003,151.213078
608,Les the Yaris,Yaris,Adelaide - Halifax Street ,489,489,-34.932754,138.601228
609,Isobel the Yaris,Yaris,Adelaide - Franklin Street ,539,539,-34.927432,138.594455
610,Liam the Yaris,Yaris,Alexandria - Mitchell Road ,459,459,-33.899031,151.19481
611,Leslie the Yaris,Yaris,Randwick - Judge Street ,498,498,-33.915599,151.244587
612,Lily the Yaris,Yaris,Kirribilli - Upper Pitt Street ,457,457,-33.848362,151.215144
613,Marina the Yaris,Yaris,McMahons Point - Holt Street ,462,462,-33.842723,151.203326
614,Nuala the Yaris,Yaris,Sydney CBD - Lime Street ,957,957,-33.867578,151.201945
615,Pia the Yaris,Yaris,Kirribilli - 20 Carabella Street ,458,458,-33.849773,151.21865
616,Tigga the Yaris,Yaris,Potts Point - Wylde Street ,461,461,-33.866802,151.224868
617,Rita the Yaris,Yaris,North Sydney - Harnett Street ,463,463,-33.835474,151.209044
618,Sasha the Yaris,Yaris,Mosman - The Crescent ,942,942,-33.827427,151.242915
619,Abdul the Yaris,Yaris,Lewisham - Hunter Street ,464,464,-33.893814,151.148258
621,Madison the i30,i30,Randwick - Frenchmans Road ,517,517,-33.908342,151.247449
622,Diana the i30,i30,Enmore - Simmons Street ,121,121,-33.8993,151.1736
623,Chris the i30,i30,Randwick - Howard Street ,497,497,-33.92322,151.244204
626,Nadine the i30,i30,St Leonards - Herbert Street corner of Ella Street ,163,163,-33.818153,151.192689
627,Youmoon the i30,i30,Balmain East - Union Street Carpark ,854,854,-33.858718,151.192806
628,Yasmin the i30,i30,Marrickville - Moyes Street ,496,496,-33.914638,151.148705
629,Vesna the i30,i30,Sydney CBD - Wynyard Lane Car Park ,499,499,-33.865694,151.206583
630,Vicki the i30,i30,Balgowlah - Sydney Road ,577,577,-33.794708,151.266881
631,Tanzi the i30,i30,Manly - Augusta Road ,913,913,-33.792897,151.279951
632,Stephanie the i30,i30,Annandale - Johnston Street corner Reserve Street ,488,488,-33.884743,151.169205
